"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2024","78,006.74","77,368.30","78,154.08","77,202.30","0.00K","0.83%"
"10/10/2024","77,368.30","77,334.10","77,677.22","77,159.78","150.58M","0.04%"
"09/10/2024","77,334.10","77,473.00","77,532.03","76,641.60","107.36M","-0.18%"
"08/10/2024","77,473.00","78,303.35","78,322.19","76,818.21","154.72M","-1.06%"
"07/10/2024","78,303.35","78,282.37","78,622.15","78,104.27","110.32M","0.03%"
"04/10/2024","78,282.37","78,478.86","79,006.75","78,196.81","113.64M","-0.25%"
"03/10/2024","78,478.86","79,130.18","79,346.61","78,152.17","133.68M","-0.82%"
"02/10/2024","79,130.18","78,580.40","79,629.12","78,580.40","124.95M","0.70%"
"01/10/2024","78,580.40","78,506.28","79,356.53","78,283.39","155.57M","0.09%"
"30/09/2024","78,506.28","79,510.60","79,718.94","78,506.28","199.54M","-1.26%"
"27/09/2024","79,510.60","79,226.17","79,709.76","78,794.60","139.46M","0.36%"
"26/09/2024","79,226.17","77,893.77","79,704.70","77,891.02","157.54M","1.71%"
"25/09/2024","77,893.77","76,753.46","78,123.47","76,671.55","188.67M","1.49%"
"23/09/2024","76,753.46","75,830.21","76,803.93","75,689.23","113.45M","1.22%"
"20/09/2024","75,830.21","75,810.20","76,335.67","75,630.27","240.17M","0.03%"
"19/09/2024","75,810.20","74,844.95","76,278.42","74,844.95","299.35M","1.29%"
"18/09/2024","74,844.95","75,175.59","75,175.59","74,323.93","92.28M","-0.44%"
"17/09/2024","75,175.59","74,282.90","75,411.76","74,281.28","92.07M","1.20%"
"16/09/2024","74,282.90","74,214.25","74,589.38","74,209.99","","-0.11%"
"13/09/2024","74,367.50","74,089.56","74,548.67","74,085.28","145.97M","0.38%"
"12/09/2024","74,089.56","73,223.30","74,452.20","73,223.30","141.39M","1.18%"
"11/09/2024","73,223.30","74,012.68","74,080.49","72,921.18","178.22M","-1.07%"
"10/09/2024","74,012.68","73,924.07","74,169.83","73,582.23","135.28M","0.12%"
